장소명,리뷰,별점
플랜에이스터디카페 분당미금센터,저번에 와보고 좋아서 정액권으로 등록했습니다~ 시설 좋아요,5
플랜에이스터디카페 분당미금센터,깔끔하고 역에서 가깝고 좋습니다,5
플랜에이스터디카페 분당미금센터,깨끗하고 조용하니 사용하기 좋았습니다~,5
플랜에이스터디카페 분당미금센터,잘 사용했어요. 간단한 음료도 마련되어 있어서 좋아요. 시설도 깔끔합니다.,5
플랜에이스터디카페 분당미금센터,깨끗하고 좋아요,4.5
플랜에이스터디카페 분당미금센터,깨끗하고 조용합니다. 회의가 있어 이용했는데 컴퓨터도 연결해서 잘 이용했습니다.,5
플랜에이스터디카페 분당미금센터,좋아요,4
플랜에이스터디카페 분당미금센터,시설 좋아요 좌석 스타일이 다양해서 좋네요,5
플랜에이스터디카페 분당미금센터,깔끔합니다,5
플랜에이스터디카페 분당미금센터,최근에 오픈해서 그런지 주변 스터티카페보다 시설도 좋고 더 깔끔합니다. 충전기랑 독서대도 빌려서 사용할 수 있어 좋아요.,5
플랜에이스터디카페 분당미금센터,오늘부터 다니는데 시설이 제일 좋고 관리도 제일 잘됩니다. 사장님이 피드백도 바로바로 반영해주셔서 너무 좋아요~,5
플랜에이스터디카페 분당미금센터,사진처럼 이쁜까페같아요. 기존다니던데보다.좀더쾌적하고 가격도 비슷해서 아마 옮겨야할듯합니다. 평일 낮이라 조용하고 노트북존 따로있어그런지 소음도 안나고 좋아요!음료커피 무료 간식까지 정말 감사해요. 저는추위를.잘타는데 담요까지 준비되어있어.너무만족합니다!,5
플랜에이스터디카페 분당미금센터,여기 혼자 조용한 곳에서 작업할때나 녹화할때 너무 좋습니다!,5
플랜에이스터디카페 분당미금센터,이용잘했어요.,5
플랜에이스터디카페 분당미금센터,주인분도 넘넘 친절하시고 공부 너무 잘되요..! 여기서 공부하고 시험 만점 받으세요!,5
플랜에이스터디카페 분당미금센터,잘썼습니다.,5
플랜에이스터디카페 분당미금센터,예쁘고..! 좋아요❤️ ><><,5
플랜에이스터디카페 분당미금센터,늘 유용히 이용하고 있어요 깔끔하고 편해요!,5
플랜에이스터디카페 분당미금센터,미금역에 스터디카페가 많이 생겨서 선택지가 많고 여기저기 다녀봤는데 요즘엔 여기만 갑니다~ 좋아요!,5
플랜에이스터디카페 분당미금센터,피드백이 빨라서 넘 좋아요❤️이용자들이 메모지에 불편사항이느 의견사항 적는 곳이 있는데 하나하나 답변 바로 해주시고 수용해주셔서 너무 좋습니다,5
플랜에이스터디카페 분당미금센터,이번이 두 번째 방문입니다! 미금에서는 여기가 제일 시설도 잘 구비되어있고 분위기 자체도 너무 좋은 것 같아요 가끔 마스크를 내리고 기침이나 재채기를 하는 사람이 있어서 조금 불편하긴 했지만 카페 자체는 완벽해요..! 앞으로도 계속 갈 예정입니당:) 그리고 제가 리뷰 이벤트를 참여하려고 봤는데 영수증이 없어서 카톡으로 부탁드렸더니 영수증을 보내주셔서 진짜 감사했습니다ㅠㅠ 항상 친절하시고 스터디카페 신경 많이 써주시는 게 느껴져서 더 좋아요..! 돈 많이 버세요ㅠㅠ,5
플랜에이스터디카페 분당미금센터,,5
플랜에이스터디카페 분당미금센터,"코로나 때문에 1년 만에 스터디카페 왔는데 다른 곳을 주로 이용하다가 한 번 와봤어요. 제일 맘에 들었던 게 책상이 널찍한 거.. 의자도 다양하게 있어서 본인이 편한 의자와 자리 고를 수 있다는 것도 좋았구요. 사실 공부는 템빨이라고, 의자나 책상 등이 조금이라도 불편하면 오래 공부하기 어려운데 공부를 편하게 할 수 있게 많은 부분에서 신경을 쓴 느낌이었어요.생긴지 얼마 안되서 그런지 모르겠지만 전반적으로 깔끔하고 관리가 잘 되고 있는 느낌이에요. 특히 오염되기 쉬운 담요 같은 경우 사용전후로 통이 나눠져있어서 넘 좋았구요. 그리고 스카 선택할 때 리뷰를 많이 봤는데 어떤 곳은 노트북 사용자한테 최악이라고 적혀 있더라구요 여긴 노트북 이용석이 나눠져 있어서 노트북 사용러라면 더 추천할 만한 곳입니다!",5
플랜에이스터디카페 분당미금센터,"매달 두번씩은 스터디카페 가야할때마다 오는거같아요,, 미금에선 여기가 젤 좋습니다~~",5
플랜에이스터디카페 분당미금센터,너무 깨끗하고 무인이지만 시스템도 잘 되어있어서 편안하게 이용했습니다! 감사합니다!!,5
플랜에이스터디카페 분당미금센터,22시넘어서 가봤어요! 24시라시 운영이라 너무 좋네요!! 새벽 1시까지 있었는데 정말 집중도 잘되고 좋았어요! 미금역 스터디카페 가게되면 여기오게되는 거 같아요. 👍🏻👍🏻,5
플랜에이스터디카페 분당미금센터,앞으로 여기만 이용할 생각이에요!,5
플랜에이스터디카페 분당미금센터,"오늘 두번째 방문했는데 사탕,젤리등 소소한 간식도 좋고 음료수도 다양해서 조아요~특히 제로 사이다...♡   미금역 스터디 카페 다 다녀봤는데 여기가 제일 좋아요!!",5
플랜에이스터디카페 분당미금센터,단골될것같아요!! 너무 좋아요!,5
플랜에이스터디카페 분당미금센터,집에서 멀지만 여기만큼 공부 잘되는 곳이 없어서 옵니다. 깨끗..친절..조명..쾌적함...커피..차..사탕..독서대..모든게 완벽합니다. 감사하며 이용하고있습니다. 재방문의사 10000입니다!,5
플랜에이스터디카페 분당미금센터,"독서실 고민중이시면 꼭 가보세요! 깔끔하고 간식도 다양해요,,! 커피도 맛있어요><",5
플랜에이스터디카페 분당미금센터,두번째 방문이에요! (리뷰는 첨이지만)미금역에 있는 스터디카페 다 다녀본 사람이에요!생긴지 얼마안돼서 그런지 깨끗하고 좋아요!무엇보다 노트북실이 따로 있는게 정말 쵝오!(다만 ㅔ4자리밖에 없어서 금방 찰까봐 걱정이에요),5
플랜에이스터디카페 분당미금센터,시설도 너무 청결하고 커피도 제공되어서 너무 좋아요 계속 와서 공부하려구요,5
플랜에이스터디카페 분당미금센터,시설 깔끔해요 배려해주셔서 감사합니다,5
플랜에이스터디카페 분당미금센터,여러군데 가봤지만 가본데 중에 마음도 편하고 집중도 잘돼서 자주 가게돼요..! *_*,5
플랜에이스터디카페 분당미금센터,커피도 맛있고~~집중도 잘되어 자주이용하게 됩니다. 책상도 적당히넓어 좋아요. 조명도 적절해서 좋아요~~,5
플랜에이스터디카페 분당미금센터,시설이 좋아서 공부가 잘돼요!,5
플랜에이스터디카페 분당미금센터,시설도 좋고 사장님도 친절하세요!😚😚,5
플랜에이스터디카페 분당미금센터,미금역 2번 출구 바로 인근이라 접근성이 넘 좋아요~~항상 쾌적해서 집중이 잘돼요~~강추합니당~~^^,5
플랜에이스터디카페 분당미금센터,최고입니다ㅠㅠㅠ음료도 여러 종류로 있고 제가 간 날은 화이트데이라고ㅠㅠ초콜릿도 많더라구요ㅠㅠ정성에 감동받았습니다... 스터디카페 내부는 좀 더운 편이지만 적응하면 또 괜찮습니다! 인테리어도 너무 예쁘고 이런저런 필요한 물건들도 다 구비가 되어있구요! 친구가 프린트를 했는데 프린트도 편하게 잘 됩니다! 공부하는데 소음에 방해되지 않게 구역을 나눈 사장님의 세심한 마인드에ㅠㅠㅠ너무너무 만족하고 갑니다 다음에 또 가려구요!!,5
플랜에이스터디카페 분당미금센터,개인석 분리가 잘돼있어서 너무 좋아요❤️,5
플랜에이스터디카페 분당미금센터,완전 깔끔해요~ 조용해서 집중도 잘됐어요~^^,5
플랜에이스터디카페 분당미금센터,깨끗하고 좋아요,5
플랜에이스터디카페 분당미금센터,이번달도 다시 한번 방문입니다~ 새로운 좌석은 새로운 느낌이에요,5
플랜에이스터디카페 분당미금센터,쾌적하고 정말 좋았어요~^^!!,5
플랜에이스터디카페 분당미금센터,지난번 사용하고 좋아서 더 긴시간 구매하여 사용 하였습니다. 코로나 때뭄에 좁은곳은 좀 피하게 되는데 여긴 다른곳에 비해 전체적으로 넓은거같고 공간이 쾌적해서 요즘같은때 더 좋은것 같아요.,5
플랜에이스터디카페 분당미금센터,전반적 환경이 깔끔. 세심한 배려로집중이 잘되어 강추합니다.학습자 성향에 따라 공간이 분리되어있어 좋아요~~👍👍👍,5
플랜에이스터디카페 분당미금센터,깨끗하고 친절한 스터디카페입니다. 집에서 다소 멀지만 여기만큼 만족스러운 곳이 없네요. 이용자를 세심하게 생각하시는 사장님의 마음이 여기저기서 보이는 곳입니다.,5
플랜에이스터디카페 분당미금센터,집공부하는 스타일인데 요샌 다들 재택하고 해서 집이 너무시끄러워서 찾다가 후기보고 방문했는데 너무 만족스럽네요 ㅎㅎ인강들으면서 하는데 노트북 따로 쓸수있는 공간 마련되어있어서 좋고(그래도 조용하지만 일반독서실보다 부담이 덜됨) 새로 생긴곳이라 그런지 전체적으로 깔끔하고 좋네용! ㅋㅋ 커피도 맛있어욬ㅋ,5
플랜에이스터디카페 분당미금센터,구역별로 다른 형태의 책상과 의자가 있어 각자의 취향대로 선택하여 공부할 수 있어 좋습니다.또 노트북 등을 사용할 수 있는 구역을 따로 정해주시어 서로 눈치 보지 않고 공부할 수 있었습니다.가장 마음에 들었던 점은 커피가 진짜 맛있었던 점이었습니다.,4.5
플랜에이스터디카페 분당미금센터,미금역 다른곳에서 옮겼는데 정말 좋아욤,5
플랜에이스터디카페 분당미금센터,공간도 각각 구별돼있고 책상도 넓어서 좋아요 노트북사용도 어느정도 가능하고 올때마다 편안한 분위기라 자주 이용하고있어요..♥️ 꼭 한번 와보세요!,5
플랜에이스터디카페 분당미금센터,"조용해서 집중도 잘되고, 쾌적해요. 책상 높이도 적당해서 허리도 덜아프고, 의자도 굉장히 편해요!!",5
플랜에이스터디카페 분당미금센터,분위기도 깔끔하고 사장님이 너무 친절하셔요..! 관리도 잘되는 느낌이라 자주 ㅇㅣ용하고싶어요ㅎㅎㅎ,5
플랜에이스터디카페 분당미금센터,전체적으로 깔끔하고 쾌적해요~의자가 편해서 너무 집중이 잘되는 공간이공커피와 음료 등도 잘 구비되어잠깐 쉴때 이용하니까 좋아요.미금역2번 출구 인근이라 이용하기 편리.강추합니다.,5
플랜에이스터디카페 분당미금센터,오늘 처음 와본 곳인데 정말 깔끔하고 쾌적해서 공부하기 딱 좋네요! 비교적 저렴한 가격에 이런 퀄리티의 스터디까페라면 매일 오고싶네요! :),5
플랜에이스터디카페 분당미금센터,"노트북을 사용할 수 있는 공간이 분리되어 있는점이 좋아서 이곳만 방문합니다. 타 스터디카페는 노트북타자 소리때문에 거슬릴때가 많습니다. 그래서 저 또한 스터디카페에서 노트북사용하기가 어려워서 불편했는데요, 공부공간과 노트북 사용 공간의 분리가 필요하다고 생각하던 와중에 이곳을 발견했습니다. 이러한 점을 개선해주신것이 섬세하다고 느껴졌습니다. 또한 장소가 쾌적하고 청결하며 책상도 넓어서 좋습니다.",5
플랜에이스터디카페 분당미금센터,깔끔하고 공부하기에 넘 좋습니다!! 최근에 알게되어 자주 오고 있는데 이곳으로 스터디카페 정착예정입니다 ㅎㅎ 강추해요,5
플랜에이스터디카페 분당미금센터,깔끔하고 또 오고싶어요! 조용하고 집중 잘됩니당ㅎㅎ,5
플랜에이스터디카페 분당미금센터,좌석이 다양해서 좋아요 커피도 맛있네요,5
플랜에이스터디카페 분당미금센터,굳굳굳굳굳  깔끔하고 좋음  굳굳굳굳굳,5
플랜에이스터디카페 분당미금센터,미금역 주변 제가 5군데 둘러봤어요~~그중 처음이용한 곳!!!!여러가지가 종합적으로 만족스러웠어요.1.쾌적한 환경2.시간대비 저렴한비용3.이용 취향에 따른 공간분리4.맛있는원두커피 비롯 각종 냉장음료와 차들.간단 간식 등..넘 조용해서 실내사진은 없는데 ㅠㅠ다음엔 사진도 올려드릴게요~~꼭 한번이용해보시면 만족할것입니다.강추합니다~~^^,5
플랜에이스터디카페 분당미금센터,깔끔하고 좋아요,5
플랜에이스터디카페 분당미금센터,노트북석이 따로 있어서 노트북 쓸일 있을 때 마다 이용하는 곳이에요!! 살짝 백색소음도 있어서 집중하기도 좋습니다! 추천추천!,5
플랜에이스터디카페 분당미금센터,깔끔하고 좋아요!!,5
플랜에이스터디카페 분당미금센터,자리도 넓고 쾌적해서 집중이 확실히 잘 됩니다!!!노트북 석도 따로 분리가 되어있고 시설도 다 좋아서 완전 만족해요! 최고입니다👍,5
플랜에이스터디카페 분당미금센터,매우 쾌적하고 다양한 자리에서 공부할 수 있어서 좋아요!,5
플랜에이스터디카페 분당미금센터,한번 방문한 이후로 잘 이용중입니다! 깨끗하고 자리 구성이 좋아서 자주 방문하게 돼요,5
플랜에이스터디카페 분당미금센터,조용하고 매우 만족합니다  또 올게요,5
플랜에이스터디카페 분당미금센터,"깔끔하고 넓고 시설도 너무 좋습니다특히 스터디카페 중 노트북 존을 따로 분리한 곳이 드문데 여긴 인강석, 보통소음석, 광클석 등으로 구분해서 너무 좋아요",5
플랜에이스터디카페 분당미금센터,"제가 집에서는 집중이 잘안되서 주로 카페나 스터디카페에서 공부를 하는데, 여기는 좌석 테마가 다양해서 집중이 안될때 자리를 옮기면 다른 스터디카페에서 공부하는것 같은 느낌이 들어서 너무 좋았습니다. 무엇보다 제가 가본 다른 스터디카페에 비해 좌석이 넓은게 큰 메리트로 다가왔네요. 새로생긴 곳이라 깔끔하고 각종편의시설도 잘되어있네요. 스터디카페나 스터디룸 알아보고 있으시면 고민없이 여기로오셔도 좋을것 같네요.",5
플랜에이스터디카페 분당미금센터,스터디카페 처음 방문해봤는데 시설 좋네요음료랑 커피도 있어서 굿 ㅋㅋㅋ,5
플랜에이스터디카페 분당미금센터,아늑하고 너무 좋네요 미금역 근처 중엔 제일 좋은 거 같아요,5
모임 스터디룸 스터디카페,쾌적하고 좋아요 감사합니다,5
모임 스터디룸 스터디카페,"시설, 서비스 모두 만족스러웠습니다. 좋아요~",5
모임 스터디룸 스터디카페,음료 못가져가는건 아쉽디만 인테리어나 분위기도 다 좋아요,5
모임 스터디룸 스터디카페,좋았어요. 사장님이 친절하세요. 덕분에 잘 이용했습니다.,5
모임 스터디룸 스터디카페,친절하세요~~ 단 공간이 좀 더 넓으면 좋을것 같아요~~^^,5
모임 스터디룸 스터디카페,깔끔해요다만 에어컨이 따로 조절이 안되는 것 때문에 불편했어요,5
모임 스터디룸 스터디카페,굿 비싸지 않고 괜찮았음,4
모임 스터디룸 스터디카페,깔끔하고 좋습니당! 근데 좀 추워요ㅠㅠ,4
모임 스터디룸 스터디카페,잘 공부하고 갑니다,5
모임 스터디룸 스터디카페,방음이 전혀 안되는 곳,2.5
모임 스터디룸 스터디카페,원래 이용하려던 룸이 예약이 되어 있었지만저렴한 가격으로 다른 룸으로 바꿔서 이용하였습니다.에어컨이 좀 시끄러운게 단점이네요.,4
모임 스터디룸 스터디카페,좋았습니다!,5
모임 스터디룸 스터디카페,깔끔해요! 흑백 프린트가 한장에 200원인건 조금 비싼것 같아요ㅜㅜ,5
모임 스터디룸 스터디카페,시설도 굉장히 깔끔하고 방음도 생각보다 훌륭해서 개인적으로 업무에 집중하기도 좋았어요,5
모임 스터디룸 스터디카페,중앙난방이라서 추워도 에어컨 못끄고 음식은 특히 핫도그 시키지 마세요 일단 음식이 맛없네요,2.5
모임 스터디룸 스터디카페,다만족했지만 창문도 못열고 따로 환기를 할 수 있는 시설이 관리인이 키는 환풍기 밖에 없어서 덥고 답답했어요..!,4
모임 스터디룸 스터디카페,시설 깔끔하고 직원분 친절하고 좋아요,5
모임 스터디룸 스터디카페,스터디 카페 좋아요,4
모임 스터디룸 스터디카페,깨끗하고 좋아요,4.5
모임 스터디룸 스터디카페,친절하고 시설도 깔끔해서 항상 애용하려합니다 좋아요~,5
모임 스터디룸 스터디카페,외부음식 금지라해서 안에서 음료수 주문했는데 그림과 다르게 너무 양이 적어요몇번 못 마시고 또 시켜야할 정도입니다,2
모임 스터디룸 스터디카페,"장소는 조금 좁지만, 서현역에서 가깝고, 사장님이 친절해요~^^ 소모임, 소그룹 스터디 할때 좋아요",4
모임 스터디룸 스터디카페,방은 정말 좋아요 수업 듣기에 좋습니다,5
모임 스터디룸 스터디카페,"같은 층 맞은편이 공사중이라 시끄러울 줄 알았는데, 조용하게 잘 있다가 왔네요.친절하시고, 시설 깔끔하고 무던하니 좋았습니다.",4
모임 스터디룸 스터디카페,화상 면접으로 방문 했는데 면접보기 좋았습니다,5
모임 스터디룸 스터디카페,공간 깨끗하고 가격도 저렴하고 무엇보다 접근성이 좋았습니다. 대신 방음은 아쉬웠습니다.,4
모임 스터디룸 스터디카페,저렴하고 좋아요,5
모임 스터디룸 스터디카페,"깔끔한 분위기 좋았습니다. 다만, 홀 바닥이 흡음 소재가 아니라 그런지 홀에서 이야기 하는 소리가 크게 울려 공부시  불편 했습니다.",4
모임 스터디룸 스터디카페,굿굿베리굿~~~~,4.5
모임 스터디룸 스터디카페,최고입니다~~~~,5
모임 스터디룸 스터디카페,나중에 또 방문하려고 리뷰남김!,4.5
모임 스터디룸 스터디카페,조용하고 깔끔합니다. 처음에 들어갔을때 QR체크인과 발열체크 잘 이루어지고있습니다.,4.5
모임 스터디룸 스터디카페,중간에 히터가 꺼져서 추웠어요. 두시간 이용이라 그냥 사용했습니다. 전반적으로 시설 깨끗하고 좋아요.,4
모임 스터디룸 스터디카페,친절하시고 분위기도 좋습니다!,4.5
모임 스터디룸 스터디카페,깨끗하고 사장님도 친절하셨어요,5
모임 스터디룸 스터디카페,친절하고 좋음! 있을건 있는곳. 장소대여 가격이 큰 메리트,5
모임 스터디룸 스터디카페,매번 잘 이용하고있습니다.,5
모임 스터디룸 스터디카페,자주 이용합니다,5
모임 스터디룸 스터디카페,"깔끔하고 직원분께서 너무 친절하세요다만, 난방이 너무 더웠어요...",4
모임 스터디룸 스터디카페,친절하시고 머핀도 맛있었어요 ㅎㅎㅎ,5
모임 스터디룸 스터디카페,추워서 패딩입고 훌훌,4
모임 스터디룸 스터디카페,과외하는용으로 사용햇는데 괜칞아요,3.5
모임 스터디룸 스터디카페,가끔 추운 것 빼고 가성비가 좋아요,4
모임 스터디룸 스터디카페,대체로 조용하고 좋았습니다. 건물 밖에서 들리는 시위 소리는 완전히 차단히 안된 부분이 살짝 아쉬워서 반개는 뺐어요.,4.5
모임 스터디룸 스터디카페,잘 이용했습니다~ 방음이 엄청 좋진 않지만 그래도 쾌적하고 좋았어요!,5
모임 스터디룸 스터디카페,모임장소로 괜찮아요 그런데 창가에 있는 방은 좀 춥네요,4
모임 스터디룸 스터디카페,약간 추웠는데 그래도 전반적으로 만족스러웠습니다^^,4
모임 스터디룸 스터디카페,좁긴해도 좋았어요,4
모임 스터디룸 스터디카페,"리뷰가 전부 직원분 친절하시다고 남겨져 있는 게 의아하네요.. 저희한테만 그렇게 대하신 건지 ㅎㅎ;..ㅜ 표정도 대놓고 성가시고 불편하다는 티 내시고 대화하는 중인데 양해도 없이 무시하듯 다른 손님 응대하시고.. 예약 가능 시간 여쭙는 게 그리 기분이 나쁘셨는지요 ㅜㅜ 무서워서 뭔 말을 제대로 못 하겠더라고요.. 원래 성격이 그러신 건가 했는데 리뷰 보니까 너무 당황스럽네요 ㅋㅋ.. 저희가 간 날만 직원분이 다르셨던 건지요 ㅠ 아님 그날따라 기분이 안 좋으셨나요? 방은 깔끔하고 좋았어서 별 2개 남깁니다. 친절 응대까지는 바라지 않아도 무례라고 느낄 정도로 불쾌하게 대하시면 저도 사람인데 기분이 좋을 수가 없네요. 저희가 무례한 말씀을 드린 것도 아니고 계속 예의있게 조심히 여쭈고 답했는데요,,",2
모임 스터디룸 스터디카페,코로나때문에 스터디 예약하기도 어려웠는데  사장님 너무 친절하셔서 좋았어요~자주 이용하려구요~,4.5
모임 스터디룸 스터디카페,깔끔합니다. 시간당 예약이 있다보니 이용시간 끝나기 5분전에 직원분이 노크하고 다음 이용자가 있으니 정리해달라고 말씀하시니 참고하시면 좋을 것 같습니다.,5
모임 스터디룸 스터디카페,3번 째 이용인데 쾌적한 환경과 온도 습도 모두 적절하여 무리없이 이용합니다 번창하세요!,4.5
모임 스터디룸 스터디카페,"생각보다 자리 간격이 좁네요. 5명이어서 5~8인룸을 신청했는데, 자리 간격이 좁아서 움직일 수 없는 상황이었어요 (정말 자리에만 앉아야하는)직원분은 친절하셨습니다.",3
모임 스터디룸 스터디카페,요즘 무인이 많아서 불편하기도 하고 걱정되기도 했는데 여긴 그렇지않아 너무 좋네요 친절하시고 깔끔하고 마실것도 다양하고 간식거리도 있어요ㅎㅎ,4
모임 스터디룸 스터디카페,좋아요. 스터디룸만 있고 룸에서 모임도 있는 것 같네요.,4
모임 스터디룸 스터디카페,깨끗하고 친절하시구 좋아요 ㅎㅎ!,5
모임 스터디룸 스터디카페,직원분도 친절하시고 방도 깨끗해서 잘 사용했습니다. 다음에 또 필요하면 이용하겠습니다.,5
모임 스터디룸 스터디카페,매우 만족합니다.. 직원분도 친절하시고 음료도 저렴한 편이구요.,5
모임 스터디룸 스터디카페,방음이 잘 안되지만 너무 친절하시고 만족스러워요 🥰❤️,5
모임 스터디룸 스터디카페,잘쓰고갑니다~~,5
모임 스터디룸 스터디카페,잘 썼습니다. 깔끔하고 좋았어요 :),5
모임 스터디룸 스터디카페,"공간도 좋고, 깨끗하고, 무엇보다 사장님 부부 분들이 너무 친절하세요!!!신경도 엄청 써주시고, 덕분에 기분 좋아지네요매우 쾌적합니다 :)",5
모임 스터디룸 스터디카페,좀 불친절해요ᆞ알바생이신지 주인이신지 모르겠지만ㅠㅠ,2.5
모임 스터디룸 스터디카페,깨끗하고 좋아요!,5
