장소명,리뷰,별점
비바체 스터디카페,밝고 쾌적하고 동네 근처에서 제일 공부하기 좋은 곳이에욥!,5
비바체 스터디카페,조용하고 관리 잘해주셔서 잘 이용하고있어요👍👍,5
비바체 스터디카페,오랜만에 다시 와봤는데 여전히 조용하고  깔끔해서 좋았어요~!,5
비바체 스터디카페,굿,5
비바체 스터디카페,좋아요. 재등록했어요,5
비바체 스터디카페,깔끔하고 좋아요,5
비바체 스터디카페,너무 깔끔하고 쾌적해요. 다른 스터디 카페랑 다르게 노트북 사용 가능한 존도 넓고 자리 많아서 좋았습니다. 사장님도 엄청 친절하세요^^!,5
비바체 스터디카페,좋아요,3.5
비바체 스터디카페,"새로 생긴 스터디카페라 그런지
시설 너무 깔끔하고 직원분이 관리를
잘 해주시는 거 같아요",5
비바체 스터디카페,호니 너무 좋아요,5
